@relation mobile_gt
@attribute srcport numeric
@attribute proto numeric
@attribute dstport numeric
@attribute totalpkts numeric
@attribute totalsize numeric
@attribute minsize numeric
@attribute maxsize numeric
@attribute meansize numeric
@attribute stdsize numeric
@attribute kurtosisSize numeric
@attribute skewnessSize numeric
@attribute standardErrorSize numeric
@attribute miniat numeric
@attribute maxiat numeric
@attribute meaniat numeric
@attribute stdiat numeric
@attribute duration numeric
@attribute behavior {chat,browser,video,search}
@data
45427,6,443,9,392,40,60,43.55556,6.91393,1.3396,1.79061,2.30464,0.000016,36.15973,4.54482,11.94936,36.358578,video
46957,6,80,32930,29048081,40,1400,882.11603,658.48607,-1.76423,-0.48524,3.6287,0,63.8197,0.00568,0.35214,186.880066,video
38961,6,80,121,81667,52,1400,674.93388,596.42786,-1.72929,0.14567,54.22071,0,15.190653,0.18001,1.38171,21.600739,video
39845,6,80,114,68824,52,1400,603.7193,615.80765,-1.68611,0.40026,57.67567,0,102.696948,1.32317,10.00768,149.518611,video
38547,6,80,71,42905,52,1400,604.29577,566.18669,-1.53938,0.32371,67.194,0.000002,99.290896,1.72888,11.87946,121.021902,video
40159,6,443,5,276,52,60,55.2,3.91918,-1.54167,0.51031,1.75271,0.031135,60.034377,15.06102,25.96539,60.244081,video
42111,6,80,20,6118,40,1400,305.9,447.00491,1.03472,1.56038,99.95334,0.000011,0.50179,0.08875,0.13472,1.686286,video
44400,6,443,19,3726,40,1400,196.10526,337.73781,6.40113,2.72766,77.48237,0.000029,19.810387,1.74683,4.98937,31.442877,video
38089,6,80,46,25704,52,1400,558.78261,574.81554,-1.46848,0.50169,84.75193,0.000001,16.417185,0.43028,2.41412,19.362803,video
43090,6,80,16,2666,40,1400,166.625,340.2554,8.6093,3.21208,85.06385,0.000065,135.342008,11.25888,33.97383,168.883252,video
37325,6,80,59,30912,52,1400,523.9322,541.3588,-1.20764,0.61553,70.47891,0.000004,15.182699,0.48889,2.4052,28.355366,video
41660,6,443,30,8575,40,1400,285.83333,412.55667,2.59401,1.93242,75.3222,0.000106,19.820629,0.78623,3.60845,22.800549,video
40888,6,443,44,17773,40,1400,403.93182,493.56327,-0.01713,1.21187,74.40746,0.000001,19.823141,0.71765,3.07275,30.859101,video
45698,6,80,18,7028,40,1400,390.44444,566.08276,-0.61739,1.14291,133.42699,0.000001,1.011882,0.09009,0.23464,1.531479,video
46091,6,80,905,712447,40,1400,787.23425,673.84499,-1.9596,-0.19246,22.39937,0,1.341371,0.0123,0.06564,11.114796,video
39501,6,80,53,29704,52,1400,560.45283,617.58051,-1.56602,0.56127,84.83121,0.000001,30.850718,0.60583,4.23532,31.503184,video
41405,6,443,6,272,40,60,45.33333,7.88811,-0.34041,1.15907,3.22031,0.005708,32.801031,6.61347,13.0939,33.067342,video
45885,6,8080,14,3105,40,1400,221.78571,369.82432,5.07693,2.51142,98.83971,0.000201,0.097893,0.03971,0.03686,0.51623,video
41825,6,443,89,37000,52,1400,415.73034,550.07556,-0.62927,1.11131,58.30789,0.000001,167.113753,3.31279,21.89163,291.525145,video
41825,6,443,37,8831,40,1400,238.67568,415.45703,3.81825,2.37565,68.30071,0.000001,179.410608,5.00439,29.48011,180.157949,video
42118,6,80,15,2626,40,1400,175.06667,349.78822,7.8334,3.09354,90.31493,0.000231,85.811436,8.47977,22.75329,118.716782,video
44172,6,80,11,484,40,60,44,6.82242,0.49766,1.4511,2.05704,0.031503,84.438404,12.03679,24.92493,120.367889,video
40700,6,80,14,4874,40,1400,348.14286,536.66548,0.08366,1.43419,143.42988,0.000159,0.103755,0.03146,0.04145,0.408986,video
44228,6,443,23,4553,40,1400,197.95652,319.1161,6.66666,2.68403,66.54031,0.000127,19.84613,1.08359,4.11773,23.839088,video
46941,6,80,13,1723,40,880,132.53846,230.70815,6.26881,2.85299,63.98693,0.004081,1.175398,0.30957,0.38466,3.714788,video
41888,6,443,38,10580,40,1400,278.42105,466.05876,1.73055,1.89672,75.60471,0.000001,179.834113,4.87836,29.15931,180.499159,video
