@relation mobile_gt
@attribute srcport numeric
@attribute proto numeric
@attribute dstport numeric
@attribute totalpkts numeric
@attribute totalsize numeric
@attribute minsize numeric
@attribute maxsize numeric
@attribute meansize numeric
@attribute stdsize numeric
@attribute kurtosisSize numeric
@attribute skewnessSize numeric
@attribute standardErrorSize numeric
@attribute miniat numeric
@attribute maxiat numeric
@attribute meaniat numeric
@attribute stdiat numeric
@attribute duration numeric
@attribute appName {'WeChat','Weibo','bilibili','iQIYI','手机淘宝','京东','Alipay','携程旅行','马蜂窝旅游','QQMusic','酷狗音乐','拼多多','今日头条','新浪新闻','Tencent news','NetEase News','抖音短视频','Meituan','Ximalaya','NetEase Music'}
@data
37381,6,80,15,3286,40,950,219.06667,309.34047,1.53455,1.7917,79.87137,0.00272,4.793271,0.72211,1.46954,10.109479,Ximalaya
43782,6,443,28,7960,40,1400,284.28571,421.39003,1.33801,1.6815,79.63523,0.000001,59.298284,2.26848,11.18508,61.248892,Ximalaya
45895,6,80,33,13672,40,1400,414.30303,571.43458,-0.77199,1.06962,99.47399,0.000001,6.028961,0.21797,1.04494,6.974987,Ximalaya
48221,6,80,112,71277,40,1400,636.40179,663.96681,-1.90253,0.27212,62.73897,0,2.039995,0.02562,0.19428,2.844181,Ximalaya
49943,6,443,190,134199,40,1400,706.31053,672.33999,-1.97678,0.04745,48.77667,0.000001,2.833769,0.02409,0.20727,4.553772,Ximalaya
45795,6,80,214,135476,40,1400,633.06542,662.28236,-1.8963,0.28366,45.27269,0,1.420198,0.01387,0.1004,2.954997,Ximalaya
45949,6,80,119,67612,40,1400,568.16807,605.46845,-1.63784,0.47742,55.5032,0,9.825727,0.16746,0.95973,19.759944,Ximalaya
42805,6,80,10,2773,52,1389,277.3,457.17569,1.46259,1.8511,144.57165,0.002038,0.940095,0.18661,0.2751,1.679472,Ximalaya
48219,6,80,112,71197,40,1400,635.6875,664.59202,-1.90258,0.27211,62.79804,0,3.925664,0.043,0.3715,4.77319,Ximalaya
49299,6,80,3107,2327133,40,1400,748.99678,666.83806,-1.96582,-0.07247,11.96327,0,5.289857,0.01001,0.13923,31.080049,Ximalaya
49296,6,80,17,4277,40,1400,251.58824,435.97397,3.06648,2.22369,105.73922,0.000006,58.781367,3.73935,14.21213,59.829666,Ximalaya
46242,6,443,25,7042,40,1400,281.68,431.81827,2.00792,1.91767,86.36365,0.000001,0.275315,0.09501,0.11437,2.280224,Ximalaya
45627,6,80,11,2256,40,930,205.09091,324.25508,1.14646,1.82457,97.76658,0.000663,5.13076,0.68032,1.50246,6.803208,Ximalaya
49325,6,80,142,88019,40,1400,619.85211,654.213,-1.85054,0.33099,54.90034,0,5.038174,0.04242,0.42298,5.980657,Ximalaya
