@relation flows-weka.filters.unsupervised.attribute.Remove-R5-15-weka.filters.unsupervised.attribute.Remove-R1

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute app {BG,FG}

@data
443,52489,6,16,10795,40,1492,674.6875,664.90495,0.000001,15.593779,1.48685,3.88448,22.302822,16,1491,40,413,93.1875,100.21241,0.000028,15.474912,1.07662,3.84868,16.14933,BG
443,48621,6,40,40493,40,1492,1012.325,666.80017,0.000001,5.592011,0.38803,1.00718,15.133274,30,3660,40,1400,122,250.97171,0.000006,1.459682,0.17225,0.36733,4.995105,BG
443,40723,6,9,4992,40,1500,554.66667,572.1948,0.000001,0.741203,0.14945,0.24321,1.195634,14,1265,40,317,90.35714,87.26365,0.000192,0.623252,0.10712,0.15776,1.392581,BG
443,50028,6,26,8860,40,1500,340.76923,510.35382,0.000001,13.053462,0.73129,2.5633,18.282265,20,1997,40,765,99.85,161.25361,0.000251,12.950657,0.7356,2.87991,13.976395,BG
80,60755,6,5,573,52,357,114.6,121.2396,0.005769,19.989625,5.07794,8.60957,20.311765,6,2029,52,1212,338.16667,438.88435,0.104052,20.063244,4.11664,7.97339,20.583202,BG
80,39622,6,6,1614,40,1394,269,503.1683,0.000004,0.222216,0.07144,0.08893,0.357182,6,896,40,664,149.33333,230.28871,0.000615,0.111378,0.07145,0.04627,0.357272,BG
80,53498,6,91,119700,40,1500,1315.38462,458.95578,0,0.224618,0.00863,0.0266,0.776595,66,4372,40,346,66.24242,51.20549,0.000002,0.213924,0.01211,0.03034,0.787452,BG
443,58915,6,11,5609,40,1500,509.90909,570.69072,0.000005,2.172883,0.50114,0.64975,5.011418,16,3008,40,1400,188,332.54774,0.000052,2.18757,0.34698,0.55826,5.204709,BG
14822,3027,17,69,5209,57,153,75.49275,14.70248,0.000004,15.404079,2.65461,4.21212,180.513184,7,634,59,248,90.57143,64.60397,0.001712,4.998002,0.91867,1.8257,5.511992,BG
443,42043,6,20,9838,40,1480,491.9,484.82594,0,64.662718,3.63405,14.38925,69.0469,23,3964,40,509,172.34783,198.64314,0.000038,64.973521,3.15515,13.50882,69.413357,BG
443,56819,6,69,69590,40,1500,1008.55072,662.78719,0.000002,118.283521,1.82924,14.22756,124.388344,39,2974,40,840,76.25641,130.56086,0.00005,0.330181,0.05492,0.07788,2.087103,BG
443,50102,6,12,5490,40,1500,457.5,604.31635,0.000004,0.888002,0.24628,0.28849,2.709097,12,1259,40,317,104.91667,98.8184,0.000178,0.576289,0.10519,0.16381,1.157132,BG
443,41783,6,19,1209,40,186,63.63158,39.57034,0.00003,180.016222,11.75193,41.41958,211.534765,21,2362,40,557,112.47619,111.46796,0.00041,30.879931,1.57673,6.72278,31.534551,BG
8000,3027,17,6,558,93,93,93,0,0.13781,23.274033,7.07294,8.28549,35.364697,6,534,89,89,89,0,0.137312,23.286072,7.07438,8.2907,35.371901,BG
80,58528,6,161,234581,40,1500,1457.02484,232.89485,0,0.127408,0.00396,0.01507,0.633968,113,7430,40,410,65.75221,33.97775,0.000005,0.137242,0.00566,0.0206,0.634096,BG
443,32874,6,13,3764,40,1469,289.53846,507.49682,0.000006,2.827449,0.47772,0.7588,5.732651,11,1331,40,482,121,142.76873,0.000633,2.770135,0.41657,0.80586,4.165725,BG
80,58531,6,583,861734,40,1500,1478.10292,167.33045,0,0.514007,0.005,0.03012,2.91278,443,30828,40,632,69.58916,28.47395,0,0.899122,0.00666,0.04993,2.943972,BG
8080,51123,6,5,380,40,208,76,66.16343,0.000499,59.329342,14.86049,25.67414,59.441946,7,1512,40,824,216,284.12472,0.000386,59.424207,10.11189,22.05603,60.671323,BG
