@relation flows-weka.filters.unsupervised.attribute.Remove-R16-37-weka.filters.unsupervised.attribute.Remove-R1

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute app {BG,FG}

@data
443,46572,6,26,6393,40,1500,245.88462,428.16121,0.000012,35.143168,1.50342,6.86995,37.585408,BG
80,40682,6,162,145314,40,1500,897,709.37574,0,0.101236,0.0041,0.01313,0.660017,BG
443,35219,6,485,397509,40,1500,819.60619,711.30078,0,58.991571,0.16973,2.84816,82.15001,BG
8080,41863,6,21,3223,52,1400,153.47619,296.09548,0.000133,19.264163,2.68536,5.34705,53.70729,BG
443,48037,6,40,25092,40,1500,627.3,680.75172,0,0.693259,0.04751,0.11257,1.852803,BG
443,36811,6,27,11698,40,1500,433.25926,588.96781,0.000004,1.489102,0.14877,0.32605,3.867962,BG
443,52562,6,25,12583,52,1500,503.32,623.23297,0.000123,7.948534,0.65449,1.62021,15.707752,BG
80,34650,6,781,630670,40,1380,807.51601,652.64344,0,0.10568,0.00181,0.01171,1.410275,BG
80,58543,6,583,456863,40,1380,783.64151,654.67831,0,0.164905,0.00138,0.00966,0.802784,BG
80,43007,6,14,2377,40,1207,169.78571,327.58929,0.000023,18.409703,1.5851,4.86561,20.606244,BG
443,54728,6,22,7007,40,1500,318.5,484.73833,0.000001,0.178135,0.04208,0.05098,0.883665,BG
80,35619,6,9,931,40,366,103.44444,111.9892,0.001142,4.826961,0.67239,1.57123,5.379123,BG
443,39720,6,18,4303,40,1492,239.05556,448.05611,0.000003,59.515367,3.557,13.98974,60.468982,BG
443,49376,6,27,7499,40,1480,277.74074,421.18111,0.000014,0.479738,0.0793,0.09653,2.061916,BG
443,49326,6,40,15162,40,1492,379.05,562.21619,0.000002,19.648222,1.2155,3.47182,47.404322,BG
443,34896,6,27,9992,52,1500,370.07407,535.24456,0.000002,60.262666,2.6196,11.56526,68.10959,BG
8080,47621,6,15,1846,52,500,123.06667,149.40748,0.000004,59.220814,7.19022,17.84802,100.663059,BG
80,38347,6,13,864,40,221,66.46154,56.40733,0.000213,5.272024,1.13853,1.55565,13.662394,BG
80,40693,6,333,305214,40,1500,916.55856,703.52679,0,57.366777,0.17849,3.14342,59.257821,BG
443,35613,6,28,11384,40,1492,406.57143,547.7737,0.000001,29.913701,1.5363,5.67216,41.48016,BG
443,48610,6,33,12186,40,1492,369.27273,518.09788,0.000004,3.835962,0.35131,0.78969,11.241934,BG
443,49953,6,47,13240,40,1500,281.70213,483.31127,0.000003,6.623107,0.2209,0.98654,10.16151,BG
80,58556,6,363,285784,40,1380,787.28375,656.79183,0,0.800906,0.00787,0.06426,2.847454,BG
80,40699,6,1099,999747,40,1500,909.6879,701.70911,0,3.775506,0.11087,0.54092,121.734778,BG
80,40117,6,521,443635,40,1500,851.50672,721.12202,0,111.603446,0.23164,4.88884,120.453528,BG
8000,3027,17,6,490,63,93,81.66667,13.29996,0.085333,23.233839,7.37536,8.71678,36.876777,BG
443,52471,6,50,21040,40,1492,420.8,599.65747,0,3.656048,0.19479,0.58039,9.5449,BG
80,58523,6,769,671425,40,1500,873.11443,708.61007,0,0.371031,0.00353,0.02138,2.711904,BG
8080,46591,6,140,50781,40,1390,362.72143,459.57759,0.000004,11.79614,0.59302,1.91837,82.429103,BG
8080,46591,6,9,2408,40,1360,267.55556,400.05086,0.013635,42.710648,5.39071,14.10564,43.125702,BG
8080,46591,6,4,356,40,152,89,49.99,0.007679,0.180605,0.06711,0.08029,0.201318,BG
8080,46591,6,6,560,40,152,93.33333,50.36754,0.128924,153.42648,30.86622,61.28018,154.331088,BG
80,40160,6,16,3040,40,1400,190,340.54864,0.000426,64.970981,4.56647,16.14956,68.497117,BG
443,49369,6,22,6778,40,1500,308.09091,488.99953,0.000003,5.397747,0.30999,1.14068,6.509855,BG
80,55571,6,20,3694,40,387,184.7,136.62873,0.000103,7.747956,0.74573,1.96067,14.168886,BG
80,35315,6,243,222112,40,1500,914.04115,709.03029,0,10.4,0.11761,0.76011,28.462314,BG
443,58783,6,10,559,40,160,55.9,35.30567,0.000061,0.10847,0.03581,0.04865,0.322252,BG
443,58235,6,24,6769,40,1500,282.04167,470.85706,0.000003,0.683367,0.06902,0.14645,1.587536,BG
443,50410,6,27,11636,40,1500,430.96296,570.92345,0.000005,119.924415,4.7416,23.03842,123.281557,BG
8080,45102,6,27,2434,52,264,90.14815,61.27274,0.000253,25.662867,2.65492,5.6127,69.028024,BG
80,40146,6,20,7999,40,1500,399.95,591.76055,0.000004,105.550042,5.7015,23.53573,108.32852,BG
443,48609,6,31,8447,40,1492,272.48387,440.83754,0.000006,4.824003,0.37947,0.95624,11.384114,BG
443,54289,6,17,2778,40,1053,163.41176,255.61277,0.000008,4.795335,0.34602,1.15,5.536388,BG
443,56775,6,16,1784,40,402,111.5,105.7367,0.000248,209.927927,15.32099,52.07631,229.814885,BG
443,57793,6,7,312,40,60,44.57143,7.53766,0.02325,10.030362,2.18716,3.58023,13.12294,BG
8080,50906,6,19,2172,52,644,114.31579,157.52996,0.001478,23.616044,3.74182,6.98849,67.3528,BG
80,58587,6,461,383854,40,1500,832.6551,717.10472,0,0.608417,0.00694,0.04464,3.193511,BG
443,57304,6,28,8838,40,1500,315.64286,477.27068,0.000006,119.962997,4.93951,22.67081,133.366665,BG
443,57534,6,39,5183,40,1400,132.89744,229.27185,0.000007,119.864351,3.31524,19.1611,125.97904,BG
8000,3027,17,7,631,89,93,90.14286,1.80702,0.004944,12.432657,5.40647,5.10127,32.438811,BG
443,55328,6,88,42778,40,1480,486.11364,590.7409,0.000001,64.600892,1.27269,7.82091,110.723809,BG
443,35551,6,25,7126,40,1500,285.04,470.4542,0.000004,3.079602,0.25182,0.63382,6.043684,BG
443,34789,6,26,6355,40,1500,244.42308,413.36696,0.000004,5.818485,0.35978,1.14329,8.994601,BG
80,58578,6,532,458318,40,1500,861.5,713.4586,0,0.802022,0.00455,0.04486,2.413932,BG
80,55771,6,12,1597,40,384,133.08333,131.47209,0.001074,4.843414,0.74729,1.45766,8.220203,BG
443,49330,6,19,3526,40,1400,185.57895,326.79228,0.000179,0.692473,0.09318,0.15549,1.677175,BG
443,49304,6,66,35310,40,1492,535,669.07315,0.000001,5.336291,0.20354,0.75228,13.230145,BG
443,40554,6,35,9389,40,1500,268.25714,433.74597,0.000004,119.841303,5.19848,21.93168,176.748313,BG
443,52276,6,33,6681,40,1400,202.45455,335.70244,0.000004,119.956948,5.31596,22.23662,170.110567,BG
80,46034,6,9,1479,40,861,164.33333,258.68814,0.000426,64.836783,8.16822,21.41876,65.345753,BG
80,54536,6,7,1403,40,779,200.42857,264.68518,0.034482,0.206564,0.09447,0.07073,0.566807,BG
80,58529,6,231,199875,40,1500,865.25974,710.93353,0,0.802084,0.01945,0.10041,4.474628,BG
80,51078,6,30,12547,40,1400,418.23333,574.69126,0.000274,6.84796,0.57032,1.40536,16.539405,BG
443,48105,6,58,13734,40,1500,236.7931,437.67788,0.000045,29.708924,0.69476,3.88023,39.601246,BG
12345,3027,17,35,5784,41,1468,165.25714,324.23557,0.000004,26.054233,1.63782,5.45615,55.685924,BG
8080,47746,6,19,2927,52,1380,154.05263,305.7678,0.000647,23.61633,2.7081,5.83562,48.745875,BG
443,36518,6,42,12015,40,1500,286.07143,442.79203,0.000011,119.875689,3.04525,18.47663,124.855099,BG
10555,56407,6,25,1546,40,227,61.84,38.76976,0.000199,57.5757,3.43173,11.48456,82.3616,BG
443,34680,6,72,25087,40,1492,348.43056,493.01715,0.000004,25.237987,0.58789,3.05117,41.739895,BG
443,33731,6,43,24388,40,1500,567.16279,649.64616,0,0.141462,0.02446,0.0364,1.02745,BG
80,35048,6,50,21014,40,1492,420.28,533.36468,0.000002,6.639613,0.46417,1.12948,22.744363,BG
443,55906,6,4144,3581155,40,1500,864.17833,720.23396,0,117.62498,0.04805,1.82783,199.084907,BG
443,35317,6,138,100643,40,1500,729.2971,710.12478,0,58.999901,0.4386,5.02187,60.08774,BG
443,42040,6,38,13114,40,1480,345.10526,451.03517,0,64.950273,2.06074,10.53876,76.247249,BG
443,50769,6,22,7491,40,1492,340.5,472.38195,0.000004,0.211907,0.05087,0.052,1.068263,BG
80,40163,6,13,2768,40,1083,212.92308,326.20981,0.000003,119.900742,10.03627,33.12544,120.435291,BG
80,44834,6,12,4045,40,1500,337.08333,531.57776,0.00006,119.847006,11.01402,34.41714,121.154204,BG
443,44932,6,35,10294,40,1492,294.11429,456.51167,0.000001,10.992115,0.7253,2.10461,24.660242,BG
443,53339,6,34,14821,52,1500,435.91176,596.89557,0.000002,34.55994,2.24492,6.589,74.082332,BG
443,42245,6,14,11508,40,1492,822,665.31496,0.000004,23.999852,4.62423,7.39774,60.114965,BG
80,58510,6,135,118773,40,1500,879.8,705.60639,0,0.703519,0.01288,0.06824,1.7263,BG
443,34810,6,18,2356,40,669,130.88889,178.96893,0.000384,1.276055,0.20216,0.33546,3.436691,BG
80,48339,6,16,1799,52,774,112.4375,179.48014,0.007754,27.327398,4.8414,8.00477,72.621055,BG
443,47371,6,27,10173,40,1500,376.77778,550.72446,0.000002,2.518765,0.12676,0.48152,3.295701,BG
